l,m,Clm,Slm,sigmaClm,sigmaSlm
13,10,4.11080488026299e-08,-3.6840390917775e-08,3.244889463e-12,3.253736344e-12
13,11,-4.45213404110823e-08,-4.84141059455725e-09,4.550952956e-12,4.554784705e-12
13,12,-3.13130628228171e-08,8.79376493656904e-08,5.344415592e-12,5.341926097e-12
13,13,-6.12004732532594e-08,6.81501470347338e-08,4.701046235e-12,4.701545882e-12
14,0,-2.26681154094404e-08,0.0,5.834405174e-13,0.0
14,1,-1.87724885657433e-08,2.88602024410603e-08,5.664744713e-13,6.162880799e-13
14,2,-3.59186725681205e-08,-4.05327051356456e-09,6.409352007e-13,6.005265135e-13
14,3,3.65140497848863e-08,1.96941950099316e-08,7.007855131e-13,6.960903259e-13
14,4,1.60184144282003e-09,-2.26625156915448e-08,9.342385554e-13,9.198991086e-13
14,5,2.93092637238844e-08,-1.67894170071708e-08,1.148722942e-12,1.150002576e-12
14,6,-1.90674352461174e-08,2.45661933018802e-09,1.491351169e-12,1.48245575e-12
14,7,3.76297554551457e-08,-3.9336467107874e-09,1.81599685e-12,1.817279485e-12
14,8,-3.49417459823694e-08,-1.5447552149572e-08,2.122161672e-12,2.119183957e-12
14,9,3.19517827137725e-08,2.84642263273996e-08,2.566852331e-12,2.56471792e-12
14,10,3.88008374622606e-08,-1.29351349981739e-09,3.013424214e-12,3.016014564e-12
14,11,1.56475715628498e-08,-3.90403676399681e-08,3.373155145e-12,3.375401104e-12
14,12,8.46317130098805e-09,-3.11211374558506e-08,4.689804265e-12,4.688008292e-12
14,13,3.22437165995707e-08,4.51472951879378e-08,5.538938502e-12,5.535670807e-12
14,14,-5.18650713590088e-08,-4.81611072612157e-09,4.738753819e-12,4.739215236e-12
15,0,2.1921615450843403e-09,0.0,5.485813922e-13,0.0
15,1,9.42942849227573e-09,1.04833279954842e-08,5.311494785e-13,5.789021769e-13
15,2,-2.05302993025519e-08,-3.03007325301024e-08,5.985097273e-13,5.601201545e-13
15,3,5.34162906407382e-08,1.76634209489453e-08,6.450201972e-13,6.409804997e-13
15,4,-4.01721760931603e-08,6.813430558848741e-09,8.459317007e-13,8.332846135e-13
15,5,1.22424622638639e-08,7.620753008809071e-09,1.025196953e-12,1.026591702e-12
15,6,3.28522324096078e-08,-3.64691072357445e-08,1.36338088e-12,1.355466081e-12
15,7,5.96540954755518e-08,5.073946000323221e-09,1.604592604e-12,1.605704167e-12
15,8,-3.20875010777956e-08,2.21729246735453e-08,1.99155588e-12,1.988792501e-12
15,9,1.32999993095746e-08,3.79914748780028e-08,2.234424036e-12,2.232410765e-12
15,10,1.02639183602256e-08,1.4690633257687e-08,2.708655429e-12,2.712325364e-12
15,11,-1.3046285442287202e-09,1.85210748548004e-08,3.205799242e-12,3.206002067e-12
15,12,-3.24147324255678e-08,1.56080393130757e-08,3.460196603e-12,3.457420551e-12
15,13,-2.83649640930711e-08,-4.57549001836693e-09,4.872107425e-12,4.861902288e-12
15,14,5.1986275517695704e-09,-2.43950380180467e-08,5.753839406e-12,5.759303926e-12
15,15,-1.90443752608698e-08,-4.69941074395975e-09,5.439142055e-12,5.433997716e-12
16,0,-4.71037252266068e-09,0.0,5.219980765e-13,0.0
16,1,2.6185244789231e-08,3.33423726704204e-08,5.041106842e-13,5.503814197e-13
16,2,-2.45117847209327e-08,2.80314862616323e-08,5.662912395e-13,5.294472672e-13
16,3,-3.39147390918482e-08,-2.13401079775597e-08,6.030740033e-13,5.995013343e-13
16,4,4.08540187833972e-08,4.79877498751224e-08,7.736332027e-13,7.621449523e-13
16,5,-1.21209356470009e-08,-3.4428377217545103e-09,9.361035558e-13,9.376354285e-13
16,6,1.38747261713477e-08,-3.55969015666675e-08,1.226186919e-12,1.218796528e-12
16,7,-8.06188863620981e-09,-8.6517866069519e-09,1.493861321e-12,1.494785459e-12
16,8,-2.12044215093991e-08,5.40717302974902e-09,1.775087299e-12,1.772601913e-12
16,9,-2.24151915247857e-08,-3.96686472741101e-08,2.122396611e-12,2.119986694e-12
16,10,-1.18064629182132e-08,1.15374382529194e-08,2.378013892e-12,2.379991003e-12
16,11,1.9111846301382e-08,-3.20054944714364e-09,2.891196511e-12,2.893168096e-12
